x1 = .1552
x2 = .2776
h  = .0002

  X   |   f
.1552 | 7.4692
.1554 | 7.4610
.1556 | 7.4527
.1558 | 7.4445
.1560 | 7.4363
.1562 | 7.4282
.1564 | 7.4200
.1566 | 7.4119
.1568 | 7.4038
.1570 | 7.3957
.1572 | 7.3876
.1574 | 7.3795
.1576 | 7.3715
.1578 | 7.3635
.1580 | 7.3555
.1582 | 7.3476
.1584 | 7.3396
.1586 | 7.3317
.1588 | 7.3238
.1590 | 7.3159
.1592 | 7.3080
.1594 | 7.3002
.1596 | 7.2923
.1598 | 7.2845
.1600 | 7.2767
.1602 | 7.2690
.1604 | 7.2612
.1606 | 7.2535
.1608 | 7.2458
.1610 | 7.2381
.1612 | 7.2304
.1614 | 7.2228
.1616 | 7.2151
.1618 | 7.2075
.1620 | 7.1999
.1622 | 7.1923
.1624 | 7.1848
.1626 | 7.1772
.1628 | 7.1697
.1630 | 7.1622
.1632 | 7.1547
.1634 | 7.1473
.1636 | 7.1398
.1638 | 7.1324
.1640 | 7.1250
.1642 | 7.1176
.1644 | 7.1102
.1646 | 7.1029
.1648 | 7.0955
.1650 | 7.0882
.1652 | 7.0809
.1654 | 7.0736
.1656 | 7.0663
.1658 | 7.0591
.1660 | 7.0519
.1662 | 7.0446
.1664 | 7.0374
.1666 | 7.0303
.1668 | 7.0231
.1670 | 7.0159
.1672 | 7.0088
.1674 | 7.0017
.1676 | 6.9946
.1678 | 6.9875
.1680 | 6.9805
.1682 | 6.9734
.1684 | 6.9664
.1686 | 6.9594
.1688 | 6.9524
.1690 | 6.9454
.1692 | 6.9385
.1694 | 6.9315
.1696 | 6.9246
.1698 | 6.9177
.1700 | 6.9108
.1702 | 6.9039
.1704 | 6.8970
.1706 | 6.8902
.1708 | 6.8834
.1710 | 6.8766
.1712 | 6.8698
.1714 | 6.8630
.1716 | 6.8562
.1718 | 6.8495
.1720 | 6.8427
.1722 | 6.8360
.1724 | 6.8293
.1726 | 6.8226
.1728 | 6.8159
.1730 | 6.8093
.1732 | 6.8026
.1734 | 6.7960
.1736 | 6.7894
.1738 | 6.7828
.1740 | 6.7762
.1742 | 6.7697
.1744 | 6.7631
.1746 | 6.7566
.1748 | 6.7501
.1750 | 6.7436
.1752 | 6.7371
.1754 | 6.7306
.1756 | 6.7241
.1758 | 6.7177
.1760 | 6.7113
.1762 | 6.7048
.1764 | 6.6984
.1766 | 6.6921
.1768 | 6.6857
.1770 | 6.6793
.1772 | 6.6730
.1774 | 6.6667
.1776 | 6.6603
.1778 | 6.6540
.1780 | 6.6478
.1782 | 6.6415
.1784 | 6.6352
.1786 | 6.6290
.1788 | 6.6228
.1790 | 6.6165
.1792 | 6.6103
.1794 | 6.6041
.1796 | 6.5980
.1798 | 6.5918
.1800 | 6.5857
.1802 | 6.5795
.1804 | 6.5734
.1806 | 6.5673
.1808 | 6.5612
.1810 | 6.5551
.1812 | 6.5491
.1814 | 6.5430
.1816 | 6.5370
.1818 | 6.5310
.1820 | 6.5250
.1822 | 6.5190
.1824 | 6.5130
.1826 | 6.5070
.1828 | 6.5010
.1830 | 6.4951
.1832 | 6.4892
.1834 | 6.4832
.1836 | 6.4773
.1838 | 6.4715
.1840 | 6.4656
.1842 | 6.4597
.1844 | 6.4538
.1846 | 6.4480
.1848 | 6.4422
.1850 | 6.4364
.1852 | 6.4306
.1854 | 6.4248
.1856 | 6.4190
.1858 | 6.4132
.1860 | 6.4075
.1862 | 6.4017
.1864 | 6.3960
.1866 | 6.3903
.1868 | 6.3846
.1870 | 6.3789
.1872 | 6.3732
.1874 | 6.3675
.1876 | 6.3619
.1878 | 6.3562
.1880 | 6.3506
.1882 | 6.3450
.1884 | 6.3394
.1886 | 6.3338
.1888 | 6.3282
.1890 | 6.3226
.1892 | 6.3171
.1894 | 6.3115
.1896 | 6.3060
.1898 | 6.3005
.1900 | 6.2950
.1902 | 6.2895
.1904 | 6.2840
.1906 | 6.2785
.1908 | 6.2730
.1910 | 6.2676
.1912 | 6.2621
.1914 | 6.2567
.1916 | 6.2513
.1918 | 6.2459
.1920 | 6.2405
.1922 | 6.2351
.1924 | 6.2297
.1926 | 6.2243
.1928 | 6.2190
.1930 | 6.2137
.1932 | 6.2083
.1934 | 6.2030
.1936 | 6.1977
.1938 | 6.1924
.1940 | 6.1871
.1942 | 6.1818
.1944 | 6.1766
.1946 | 6.1713
.1948 | 6.1661
.1950 | 6.1608
.1952 | 6.1556
.1954 | 6.1504
.1956 | 6.1452
.1958 | 6.1400
.1960 | 6.1349
.1962 | 6.1297
.1964 | 6.1245
.1966 | 6.1194
.1968 | 6.1142
.1970 | 6.1091
.1972 | 6.1040
.1974 | 6.0989
.1976 | 6.0938
.1978 | 6.0887
.1980 | 6.0837
.1982 | 6.0786
.1984 | 6.0735
.1986 | 6.0685
.1988 | 6.0635
.1990 | 6.0584
.1992 | 6.0534
.1994 | 6.0484
.1996 | 6.0434
.1998 | 6.0385
.2000 | 6.0335
.2002 | 6.0285
.2004 | 6.0236
.2006 | 6.0186
.2008 | 6.0137
.2010 | 6.0088
.2012 | 6.0039
.2014 | 5.9990
.2016 | 5.9941
.2018 | 5.9892
.2020 | 5.9843
.2022 | 5.9795
.2024 | 5.9746
.2026 | 5.9698
.2028 | 5.9649
.2030 | 5.9601
.2032 | 5.9553
.2034 | 5.9505
.2036 | 5.9457
.2038 | 5.9409
.2040 | 5.9361
.2042 | 5.9314
.2044 | 5.9266
.2046 | 5.9219
.2048 | 5.9171
.2050 | 5.9124
.2052 | 5.9077
.2054 | 5.9030
.2056 | 5.8982
.2058 | 5.8936
.2060 | 5.8889
.2062 | 5.8842
.2064 | 5.8795
.2066 | 5.8749
.2068 | 5.8702
.2070 | 5.8656
.2072 | 5.8610
.2074 | 5.8563
.2076 | 5.8517
.2078 | 5.8471
.2080 | 5.8425
