x1 = 1.6000
x2 = 2.4000
dx = .2000

y1 = .0000
y2 = 1.5000
dy = .5000

   x   |    y   |    f
1.6000 | .0000  | -34.2325
1.6000 | .5000  | -34.7788
1.6000 | 1.0000 | -35.7899
1.6000 | 1.5000 | -48.3339
1.8000 | .0000  | -4.2863
1.8000 | .5000  | -4.8326
1.8000 | 1.0000 | -5.8437
1.8000 | 1.5000 | -18.3877
2.0000 | .0000  | -2.1850
2.0000 | .5000  | -2.7313
2.0000 | 1.0000 | -3.7424
2.0000 | 1.5000 | -16.2865
2.2000 | .0000  | -1.3738
2.2000 | .5000  | -1.9201
2.2000 | 1.0000 | -2.9312
2.2000 | 1.5000 | -15.4752
2.4000 | .0000  | -.9160
2.4000 | .5000  | -1.4623
2.4000 | 1.0000 | -2.4734
2.4000 | 1.5000 | -15.0174
